ID,Name,DisplayName,Description,Quality,MaxStackCount,DefaultStackCount,PriceEach,Category
0,"Character","躯壳","灵魂的载体。",999,1,1,0,"Character"
1,"0_MeleeWeapon_Template","切肉刀","看起来很粗犷的刀，不是很锋利。",9,1,1,17501,"Weapon"
2,"ArmorLV3","三级防弹衣","三级防弹衣，在某些时候能够保住你的小命。",3,1,1,1775,"Armor"
3,"Gem","金色五角星","神秘物质构成的金色五角星。增加近战武器攻击力。",4,1,1,4587,"Gem"
4,"1_Rifle-A_template","GunTemplate","?",9,1,1,37500,"Weapon"
8,"BatteryR6","R6电池","在各种用电器中被广泛使用的电池。",1,5,1,194,"Electric"
10,"Bandage","止血绷带","可以止血,并回复微少生命值。",1,3,3,80,"Medic"
11,"BatteryPP3","PP3电池","通常用于烟雾探测器、遥控玩具发射器以及作为闹钟的后备电池。",2,3,1,323,"Electric"
12,"BeanCan","焗豆罐头","焗豆罐头。",2,3,1,102,"Food"
13,"Biscuit","苏打饼干","一摞苏打饼干。",1,3,1,51,"Food"
14,"Cola","可乐","有糖的可乐才有灵魂。",4,1,1,1995,"Food"
15,"FirstAidKit_L","大急救箱","可以恢复大量生命值。",4,1,1,1322,"Medic"
16,"FirstAidKit_M","急救箱","可以恢复生命值。",3,1,1,807,"Medic"
17,"FirstAidKit_S","小急救箱","可以恢复少量生命值。",2,1,1,206,"Medic"
18,"TunaCan_1","水浸金枪鱼罐头","水浸金枪鱼罐头。",2,3,1,172,"Food"
19,"TunaCan_2","油浸金枪鱼罐头","油浸金枪鱼罐头。",3,3,1,376,"Food"
20,"Aspirin","阿司匹林","小剂量药品，回复血量，并提供镇痛效果。",1,3,3,32,"Medic"
21,"Bleach","漂白剂","一壶漂白剂。",1,1,1,139,"Daily"
22,"Cigarette","红条香烟","一盒普通的香烟。",2,3,1,105,"Food"
23,"Dynamite","管状炸弹","一颗管状炸弹。",1,1,1,140,"Explosive"
24,"DynamiteMultiple","集束管状炸弹","一束管状炸弹。",5,1,1,302,"Explosive"
25,"Flashlight","手电","一只手电筒。",3,1,1,560,"Tool"
26,"GasMask_01","防毒面具","普通的防毒面具。",3,1,1,535,"FaceMask"
27,"Goggle","滑雪镜","滑雪眼镜。",1,1,1,125,"FaceMask"
28,"Nail","钉子","钉子。",1,10,1,149,"Tool"
29,"Vodka","伏特加","喝了会开心,然后脱水。",3,1,1,902,"Food"
30,"WD40","MD40","一瓶MD40除锈剂。",3,1,1,216,"Tool"
31,"Wrench","扳手","一个扳手。",2,1,1,257,"Tool"
32,"ArmorLV1","一级防弹衣","比纸还薄，能挡一发水弹枪。",1,1,1,285,"Armor"
33,"ArmorLV2","二级防弹衣","看起来很专业，能够提供心理层面的鼓励。",2,1,1,784,"Armor"
34,"ArmorLV4","四级防弹衣","有真正的防弹性能，可靠之选。",4,1,1,3316,"Armor"
35,"ArmorLV5","五级防弹衣","提供终极的防护，子弹打在身上就像洒洒水。",5,1,1,5827,"Armor"
36,"BackpackLV1","装饰包","也就能装点口红化妆品啥的。",1,1,1,87,"Backpack"
37,"BackpackLV2","小学背包","能装很多的作业本。",2,1,1,338,"Backpack"
38,"BackpackLV3","旅行包","多功能用途背包，旅行首选。",3,1,1,995,"Backpack"
39,"BackpackLV4","生存者背包","杀哥联名，户外生存必备。",4,1,1,2385,"Backpack"
40,"BackpackLV5","行军背包MAX","使用蓝胖子口袋内衬同款材料，非常能装。",5,1,1,4706,"Backpack"
41,"HelmatLV1","摩托头盔","晶莹剔透，吹弹可破。",1,1,1,97,"Helmat"
42,"HelmatLV2","老钢盔","没怎么保养的头盔，爷爷传下来的。里面有个洞。",2,1,1,378,"Helmat"
43,"HelmatLV3","特警头盔","具有初级的防弹性能。",3,1,1,1183,"Helmat"
44,"HelmatLV4","SightPRO头盔","具有AR+VR功能，飞过来的子弹可能会眩晕从而打偏。",4,1,1,2551,"Helmat"
45,"HelmatLV5","SCIFI面罩","给予头部全方位的防护，科幻造型，非常的拉风。",5,1,1,4855,"Helmat"
