ID,Name,DisplayName,Description,GameQuality,Quality,MaxStackCount,DefaultStackCount,PriceEach,Category,IsAddon
0,"Character","躯壳","灵魂的载体。",999,White,1,1,0,"Character",False
1,"0_MeleeWeapon_Template","切肉刀","看起来很粗犷的刀，不是很锋利。",9,LightRed,1,1,17501,"Weapon",False
2,"ArmorLV3","三级防弹衣","三级防弹衣，在某些时候能够保住你的小命。",3,Blue,1,1,1775,"Armor",False
3,"Gem","金色五角星","神秘物质构成的金色五角星。增加近战武器攻击力。",4,Purple,1,1,4587,"Gem",False
4,"1_Rifle-A_template","GunTemplate","?",9,Red,1,1,37500,"Weapon",False
8,"BatteryR6","R6电池","在各种用电器中被广泛使用的电池。",1,White,5,1,194,"Electric",False
10,"Bandage","止血绷带","可以止血,并回复微少生命值。",1,White,3,3,80,"Medic",False
11,"BatteryPP3","PP3电池","通常用于烟雾探测器、遥控玩具发射器以及作为闹钟的后备电池。",2,White,3,1,323,"Electric",False
12,"BeanCan","焗豆罐头","焗豆罐头。",2,White,3,1,102,"Food",False
13,"Biscuit","苏打饼干","一摞苏打饼干。",1,White,3,1,51,"Food",False
14,"Cola","可乐","有糖的可乐才有灵魂。",4,Blue,1,1,1995,"Food",False
15,"FirstAidKit_L","大急救箱","可以恢复大量生命值。",4,Blue,1,1,1322,"Medic",False
16,"FirstAidKit_M","急救箱","可以恢复生命值。",3,Green,1,1,807,"Medic",False
17,"FirstAidKit_S","小急救箱","可以恢复少量生命值。",2,White,1,1,206,"Medic",False
18,"TunaCan_1","水浸金枪鱼罐头","水浸金枪鱼罐头。",2,White,3,1,172,"Food",False
19,"TunaCan_2","油浸金枪鱼罐头","油浸金枪鱼罐头。",3,White,3,1,376,"Food",False
20,"Aspirin","阿司匹林","小剂量药品，回复血量，并提供镇痛效果。",1,White,3,3,32,"Medic",False
21,"Bleach","漂白剂","一壶漂白剂。",1,White,1,1,139,"Daily",False
22,"Cigarette","红条香烟","一盒普通的香烟。",2,White,3,1,105,"Food",False
23,"Dynamite","管状炸弹","一颗管状炸弹。",1,White,1,1,140,"Explosive",False
24,"DynamiteMultiple","集束管状炸弹","一束管状炸弹。",5,White,1,1,302,"Explosive",False
25,"Flashlight","手电","一只手电筒。",3,Green,1,1,560,"Tool",False
26,"GasMask_01","防毒面具","普通的防毒面具。",3,Blue,1,1,535,"FaceMask",False
27,"Goggle","滑雪镜","滑雪眼镜。",1,White,1,1,125,"FaceMask",False
28,"Nail","钉子","钉子。",1,White,10,1,149,"Tool",False
29,"Vodka","伏特加","喝了会开心,然后脱水。",3,Green,1,1,902,"Food",False
30,"WD40","MD40","一瓶MD40除锈剂。",3,White,1,1,216,"Tool",False
31,"Wrench","扳手","一个扳手。",2,White,1,1,257,"Tool",False
32,"ArmorLV1","一级防弹衣","比纸还薄，能挡一发水弹枪。",1,White,1,1,285,"Armor",False
33,"ArmorLV2","二级防弹衣","看起来很专业，能够提供心理层面的鼓励。",2,Green,1,1,784,"Armor",False
34,"ArmorLV4","四级防弹衣","有真正的防弹性能，可靠之选。",4,Purple,1,1,3316,"Armor",False
35,"ArmorLV5","五级防弹衣","提供终极的防护，子弹打在身上就像洒洒水。",5,Orange,1,1,5827,"Armor",False
36,"BackpackLV1","装饰包","也就能装点口红化妆品啥的。",1,White,1,1,87,"Backpack",False
37,"BackpackLV2","小学背包","能装很多的作业本。",2,Green,1,1,338,"Backpack",False
38,"BackpackLV3","旅行包","多功能用途背包，旅行首选。",3,Blue,1,1,995,"Backpack",False
39,"BackpackLV4","生存者背包","杀哥联名，户外生存必备。",4,Purple,1,1,2385,"Backpack",False
40,"BackpackLV5","行军背包MAX","使用蓝胖子口袋内衬同款材料，非常能装。",5,Orange,1,1,4706,"Backpack",False
41,"HelmatLV1","摩托头盔","晶莹剔透，吹弹可破。",1,White,1,1,97,"Helmat",False
42,"HelmatLV2","老钢盔","没怎么保养的头盔，爷爷传下来的。里面有个洞。",2,Green,1,1,378,"Helmat",False
43,"HelmatLV3","特警头盔","具有初级的防弹性能。",3,Blue,1,1,1183,"Helmat",False
44,"HelmatLV4","SightPRO头盔","具有AR+VR功能，飞过来的子弹可能会眩晕从而打偏。",4,Purple,1,1,2551,"Helmat",False
45,"HelmatLV5","SCIFI面罩","给予头部全方位的防护，科幻造型，非常的拉风。",5,Orange,1,1,4855,"Helmat",False
46,"HelmatLV6","神之电焊头","古希腊掌管头盔的神打造，子弹看了会吓软。",6,LightRed,1,1,8778,"Helmat",False
47,"Wrench02","汽车扳手","更好用的扳手。",4,Green,1,1,1062,"Tool",False
48,"ContinerL","大扩容箱","大型扩容箱，可用作扩展藏身处。重到拿不动。",5,Orange,1,1,8578,"Continer",False
49,"ContinerM","中扩容箱","中型扩容箱，可用作扩展藏身处。很重。",4,Purple,1,1,4713,"Continer",False
50,"ContinerS","小扩容箱","小型扩容箱，可用作扩展藏身处。",3,Purple,1,1,2484,"Continer",False
51,"Clock","闹钟","定格在了三点钟。",2,Green,1,1,667,"Daily",False
52,"Detergent","洁厕灵","一瓶洁厕灵。",1,White,1,1,102,"Daily",False
53,"Drum1","红色大桶","一个大空桶。",3,Blue,1,1,1277,"Daily",False
54,"Drum2","蓝色大桶","一个大空桶。",3,Blue,1,1,1276,"Daily",False
55,"Drum3","黄色大桶","一个大空桶。",3,Blue,1,1,1238,"Daily",False
56,"Drum4","金属油桶","一个大空桶，装过汽油。",4,Purple,1,1,3578,"Daily",False
57,"GolfClub","高尔夫球棒","打人疼。",4,Blue,1,1,2270,"Daily",False
58,"Ink","墨水","钢笔墨水。",2,White,1,1,269,"Daily",False
59,"Pot","锅","可以用来煮食物。",2,Green,1,1,465,"Daily",False
60,"Tissue","卷纸","一卷卫生纸。",1,White,1,1,55,"Daily",False
61,"Zippo","Cippo","Cippo打火机。",1,White,1,1,242,"Daily",False
62,"PressionSencer","压力传感器","踩上去就能感应到。",4,Green,1,1,541,"Electric",False
63,"uPhone","uPhone手机","已经坏掉了，从外观上看不出是第几代产品。",4,Blue,1,1,1867,"Electric",False
64,"Walkie_Talkie","对讲机","普通的对讲机。",3,White,1,1,377,"Electric",False
